Job Title,Company Name,Job Location,Salary Information,Mode of Work,Industry,State,Lower Salary Range USD(k/yr),Upper Salary Range USD(k/yr),Mean Salary Range USD(k/yr)
"Customer Practice Manager , Financial Services ",Amazon Web Services (AWS),"New York, United States",$138.2K/yr - $239K/yr,On-site,Other,NY,138.2,239.0,188.6
"Retail Cosmetics Sales Associate - Lancome, Mayfair - Full Time ",Macy's,"Wauwatosa, WI","$15/hr - $21/hr · 401(k), +1",On-site,Retail,WI,31.2,43.68,37.44
Customer Service Representatives,MatchAwards,United States,$55K/yr - $62K/yr,Remote,Other,,55.0,62.0,58.5
"Retail Cosmetics Sales Associate - Chanel Beaute, Fox Run - Part Time ",Macy's,"Newington, NH","$16.50/hr - $23.10/hr · 401(k), +1",On-site,Retail,NH,34.32,48.048,41.184
Postgres Database Administrator- Secret Clearance- HYBRID! ,AMERICAN SYSTEMS,"Mechanicsburg, PA",$150K/yr - $170K/yr,Hybrid,Tech,PA,150.0,170.0,160.0
Database Developer / Engineer ,Jobot,"Clarksville, TN",$100K/yr - $140K/yr,Remote,Tech,TN,100.0,140.0,120.0
"Sr Data Scientist, AWS Commerce Platform Monetization ",Amazon Web Services (AWS),"Seattle, WA",$143.3K/yr - $247.6K/yr,On-site,Tech,WA,143.3,247.6,195.45
Business Development Manager ,Boutique Recruiting,Miami-Fort Lauderdale Area,"$50K/yr · Medical, Vision, 401(k)",Hybrid,Other,,50.0,50.0,50.0
Sr. Digital Native Business Account Manager ,Amazon Web Services (AWS),"San Francisco, CA",$128.6K/yr - $212.6K/yr,On-site,Business,CA,128.6,212.6,170.6
"Intern, Robotics Perception Research ",Autodesk,"San Francisco, CA",$47.8K/yr - $95.7K/yr,Hybrid,Other,CA,47.8,95.7,71.75
"Senior Sales Executive, Mid-Law ",Thomson Reuters,"Denver, CO","$182K/yr - $371.8K/yr · 401(k), +2 benefits",Remote,Business,CO,182.0,371.8,276.9
"Technician, Installation and Service – Residential ",Comcast,"Silverthorne, CO",$21.15/hr · 401(k),On-site,Other,CO,43.992,43.992,43.992
Retail Sales Associate ,Verizon,"Strongsville, OH",$49K/yr - $59K/yr · 1,On-site,Retail,OH,49.0,59.0,54.0
EL Operations Operator ,"Iteris, Inc.","San Francisco, CA",$39.38/hr · 401(k),Hybrid,Other,CA,81.91040000000001,81.91040000000001,81.91040000000001
PLM Teamcenter Developer ,Tata Consultancy Services,"Austin, TX",$70K/yr - $140K/yr,On-site,Tech,TX,70.0,140.0,105.0
"Retail Cosmetics Sales Associate - Prestige Beauty, Augusta Mall - Full Time ",Macy's,"Augusta, GA","$15/hr - $21/hr · 401(k), +1",On-site,Retail,GA,31.2,43.68,37.44
"Account Executive, Higher Education ",Salesforce,"Seattle, WA",$105.5K/yr - $168.2K/yr,Hybrid,Business,WA,105.5,168.2,136.85
"Associate II, Logistics ",Ingram Micro,"Fort Worth, TX","$30.2K/yr - $45.3K/yr · 401(k), +1",On-site,Retail,TX,30.2,45.3,37.75
Site Level Accountant L3,NTT Global Data Centers,"Colorado, United States",$89.6K/yr - $128.2K/yr · 401(k),Hybrid,Business,CO,89.6,128.2,108.89999999999999
Project Analyst ,Leidos,"Lompoc, CA",$49.4K/yr - $89.3K/yr,On-site,Other,CA,49.4,89.3,69.35
"Senior Manager, AWS Organizational Effectiveness ",Amazon Web Services (AWS),"Arlington, VA",$148.3K/yr - $245.1K/yr,On-site,Other,VA,148.3,245.1,196.7
Talent and Learning Intern ,HP,"Spring, TX","$23/hr - $36/hr · Medical, Dental, Vision, +1",Hybrid,Other,TX,47.84,74.88,61.36
Manufacturing Engineer III ,Aditi Consulting,"Mansfield, MA",$55/hr - $59.24/hr,On-site,Tech,MA,114.4,123.2192,118.8096
"Workday - Consultant, Financial Accounting (FDM) ",Avaap,United States,$95K/yr - $125K/yr,Remote,Business,,95.0,125.0,110.0
Client Services Associate IV ,First Tech Federal Credit Union,"Hillsboro, OR",$36/hr - $43/hr · 401(k),On-site,Retail,OR,74.88,89.44,82.16
Customer Solutions Engineer || $115k base plus Equity & Benefits,Growth,United States,$100K/yr - $115K/yr · 6 benefits,Remote,Tech,,100.0,115.0,107.5
Java Developer ,Cognizant,"Mountain View, CA",$55.4K/yr - $82K/yr · 401(k),On-site,Tech,CA,55.4,82.0,68.7
"Senior Sales Executive, Mid-Law ",Thomson Reuters,"Baltimore, MD","$182K/yr - $371.8K/yr · 401(k), +2 benefits",Remote,Business,MD,182.0,371.8,276.9
"Retail Cosmetics Sales Beauty Advisor, Padre Staples - Flex ",Macy's,"Corpus Christi, TX","$15/hr - $21/hr · 401(k), +1",Hybrid,Retail,TX,31.2,43.68,37.44
"Channel Sales Manager - Salesforce, Financial Services Industry ",Deloitte,Greater Indianapolis,$137.7K/yr - $229.5K/yr,Hybrid,Retail,IN,137.7,229.5,183.6
Oracle Unity CDP Technical Senior Consultant ,Deloitte,"Los Angeles, CA",$125K/yr - $208.2K/yr,Hybrid,Business,CA,125.0,208.2,166.6
Senior Customer Success Specialist - Connect PubSec ,Amazon Web Services (AWS),"New York, United States",$138.2K/yr - $239K/yr,On-site,Other,NY,138.2,239.0,188.6
"Executive Director, Indirect Channel Marketing ",Comcast Business,"Philadelphia, PA",$178.2K/yr - $294.0K/yr,On-site,Business,PA,178.2,294.0,236.1
"Channel Sales Manager - Salesforce, Financial Services Industry ",Deloitte,"Dallas, TX",$137.7K/yr - $229.5K/yr,Hybrid,Retail,TX,137.7,229.5,183.6
Analyst ,Tata Consultancy Services,"Pittsburgh, PA",$90K/yr - $110K/yr,On-site,Other,PA,90.0,110.0,100.0
"Retail Cosmetics Sales Beauty Advisor, Tysons Corner Center - Flex ",Macy's,"McLean, VA","$15.75/hr - $22.05/hr · 401(k), +1",Hybrid,Retail,VA,32.76,45.864,39.312
"Design Management Intern, NA ",Vantage Data Centers,"Ashburn, VA",$20/hr - $25/hr,On-site,Other,VA,41.6,52.0,46.8
Healthcare Technology Research Director ,Cotiviti,United States,"$150K/yr - $165K/yr · 401(k), +1",Remote,Health,,150.0,165.0,157.5
Oracle Unity CDP Technical Senior Consultant ,Deloitte,"Columbus, OH",$125K/yr - $208.2K/yr,Hybrid,Business,OH,125.0,208.2,166.6
"Communication Specialist, Senior ",Booz Allen Hamilton,"Chantilly, VA",$75.6K/yr - $172K/yr · 1,On-site,Other,VA,75.6,172.0,123.8
Information Security Architecture and Engineering Lead ,Gainwell Technologies,"Texas, United States",$95K/yr - $135K/yr · 401(k),Remote,Tech,TX,95.0,135.0,115.0
Workday AMS Integrations Consultant ,Deloitte,Greater Indianapolis,$97.9K/yr - $163.1K/yr,Hybrid,Business,IN,97.9,163.1,130.5
Workday AMS Integrations Consultant ,Deloitte,"Miami, FL",$97.9K/yr - $163.1K/yr,Hybrid,Business,FL,97.9,163.1,130.5
Database Developer / Engineer ,Jobot,"Gary, IN",$100K/yr - $140K/yr,Remote,Tech,IN,100.0,140.0,120.0
Advisory Capital Projects Manager - Project Controls & Scheduling ,Deloitte,Greater Sacramento,$125K/yr - $229.1K/yr,Hybrid,Other,,125.0,229.1,177.05
"US Director, FP&A ",Zip Co,"New York, NY",$193K/yr - $240K/yr · 401(k),Hybrid,Other,NY,193.0,240.0,216.5
Tax Legislative Affairs Senior Manager/Director ,Eide Bailly LLP,"Washington, DC","$150K/yr - $200K/yr · Vision, +1",Remote,Other,DC,150.0,200.0,175.0
Oracle Unity CDP Technical Senior Consultant ,Deloitte,"Miami, FL",$125K/yr - $208.2K/yr,Hybrid,Business,FL,125.0,208.2,166.6
"Associate Manager, Clinical Review Nurse (Remote) ",Gainwell Technologies,"Mississippi, United States",$69K/yr - $99K/yr · 401(k),Remote,Health,MS,69.0,99.0,84.0
Workday AMS Integrations Consultant ,Deloitte,"Boston, MA",$97.9K/yr - $163.1K/yr,Hybrid,Business,MA,97.9,163.1,130.5
Retail Sales Associate ,Verizon,"Long Beach, CA","$49K/yr - $59K/yr · 401(k), +1",On-site,Retail,CA,49.0,59.0,54.0
"Regional Sales Director, Apartments.com - Sacramento, CA ",Apartments.com,"Sacramento, CA","$90K/yr - $125K/yr · 401(k), +8 benefits",On-site,Retail,CA,90.0,125.0,107.5
Quality Assurance Software Tester ,Akkodis,"Louisville, KY",$27/hr - $33/hr · 5 benefits,On-site,Other,KY,56.16,68.64,62.4
Clinical Research Coordinator III - Emergency Medicine (Full-Time),Cedars-Sinai,"Los Angeles, CA",$71.2K/yr - $121.1K/yr,On-site,Other,CA,71.2,121.1,96.15
"Channel Sales Manager - Salesforce, Financial Services Industry ",Deloitte,"Denver, CO",$137.7K/yr - $229.5K/yr,Hybrid,Retail,CO,137.7,229.5,183.6
Workday AMS Integrations Consultant ,Deloitte,"Raleigh, NC",$97.9K/yr - $163.1K/yr,Hybrid,Business,NC,97.9,163.1,130.5
Workday AMS Integrations Consultant ,Deloitte,"Morristown, NJ",$97.9K/yr - $163.1K/yr,Hybrid,Business,NJ,97.9,163.1,130.5
Workday AMS Integrations Consultant ,Deloitte,"Jacksonville, FL",$97.9K/yr - $163.1K/yr,Hybrid,Business,FL,97.9,163.1,130.5
Retail Sales Associate ,Verizon,"Myrtle Beach, SC",$49K/yr - $59K/yr · 1,On-site,Retail,SC,49.0,59.0,54.0
"Channel Sales Manager - Salesforce, Financial Services Industry ",Deloitte,"Louisville, KY",$137.7K/yr - $229.5K/yr,Hybrid,Retail,KY,137.7,229.5,183.6
"Channel Sales Manager - Salesforce, Financial Services Industry ",Deloitte,"Kansas City, MO",$137.7K/yr - $229.5K/yr,Hybrid,Retail,MO,137.7,229.5,183.6
Product Manager – Bank Payment Enablement Solutions-R-233001 ,Mastercard,"Salt Lake City, UT","$137K/yr - $251K/yr · 401(k), +1",Hybrid,Other,UT,137.0,251.0,194.0
"Containerization Engineer, Senior ",Booz Allen Hamilton,"San Diego, CA",$84.6K/yr - $193K/yr · 1,Hybrid,Tech,CA,84.6,193.0,138.8
"Retail Cosmetics Sales Beauty Advisor - Chanel Beaute, Christiana - Full Time ",Macy's,"Newark, DE","$15/hr - $21/hr · 401(k), +1",On-site,Retail,DE,31.2,43.68,37.44
"Tech Manager, Big Ticket ",Macy's,"Johns Creek, GA","$123.6K/yr - $206K/yr · 401(k), +1",On-site,Other,GA,123.6,206.0,164.8
Embedded Product Cybersecurity Manager ,Randstad Digital Americas,"Zeeland, MI",$110K/yr - $115K/yr,On-site,Other,MI,110.0,115.0,112.5
D365 F&O Functional Solution Architect ,MCA Connect,United States,"$120K/yr - $170K/yr · 401(k), +1",Remote,Other,,120.0,170.0,145.0
Senior Manager Analyst Relations ,Verizon,"Temple Terrace, FL","$105K/yr - $212K/yr · 401(k), +1",Hybrid,Other,FL,105.0,212.0,158.5
Database Developer / Engineer ,Jobot,"Louisville, KY",$100K/yr - $140K/yr,Remote,Tech,KY,100.0,140.0,120.0
Senior Account Executive ,Canon Solutions America,"Pennsylvania, United States",$50K/yr - $57.9K/yr,Remote,Business,PA,50.0,57.9,53.95
Senior Customer Success Specialist - Connect PubSec ,Amazon Web Services (AWS),"Atlanta, GA",$138.2K/yr - $239K/yr,On-site,Other,GA,138.2,239.0,188.6
Workday AMS Integrations Consultant ,Deloitte,"Fort Worth, TX",$97.9K/yr - $163.1K/yr,Hybrid,Business,TX,97.9,163.1,130.5
Workday AMS Integrations Consultant ,Deloitte,"Richmond, VA",$97.9K/yr - $163.1K/yr,Hybrid,Business,VA,97.9,163.1,130.5
"Retail Cosmetics Sales Beauty Advisor - MAC, Boston - Full Time ",Macy's,"Boston, MA","$15/hr - $21/hr · 401(k), +1",On-site,Retail,MA,31.2,43.68,37.44
"Retail Cosmetics Sales Beauty Advisor, Olympia Capital - Flex ",Macy's,"Olympia, WA","$16.50/hr - $23.10/hr · 401(k), +1",Hybrid,Retail,WA,34.32,48.048,41.184
Procurement manager ,Boutique Recruiting,"Los Angeles, CA","$97K/yr - $135K/yr · Vision, 401(k)",On-site,Other,CA,97.0,135.0,116.0
Senior Customer Success Specialist - Connect PubSec ,Amazon Web Services (AWS),"Herndon, VA",$138.2K/yr - $239K/yr,On-site,Other,VA,138.2,239.0,188.6
Retail Sales Associate ,Verizon,"Idaho Falls, ID",$49K/yr - $59K/yr · 1,On-site,Retail,ID,49.0,59.0,54.0
Android Developer,BridgeFlair LLC,"Plano, TX",$50/hr - $55/hr,On-site,Tech,TX,104.0,114.4,109.2
Solutions Architect - Amazon QuickSight ,Amazon Web Services (AWS),"Chicago, IL",$118.2K/yr - $204.3K/yr,On-site,Other,IL,118.2,204.3,161.25
"Senior Product Manager, ISV Commercialization ",Salesforce,"San Francisco, CA",$192.9K/yr - $265.2K/yr,Hybrid,Other,CA,192.9,265.2,229.05
"Senior Director, Clinical Product Strategy (Obesity & Metabolic Health) ",Ro,"New York, NY",$287K/yr - $357K/yr,Remote,Health,NY,287.0,357.0,322.0
"Retail Cosmetics Sales Beauty Advisor, Stonecrest - Flex ",Macy's,"Lithonia, GA","$15/hr - $21/hr · 401(k), +1",Hybrid,Retail,GA,31.2,43.68,37.44
Software Engineering Architect ,Salesforce,"Seattle, WA",$224.1K/yr - $372.9K/yr,On-site,Tech,WA,224.1,372.9,298.5
"Channel Sales Manager - Salesforce, Financial Services Industry ",Deloitte,"New York, NY",$137.7K/yr - $229.5K/yr,Hybrid,Retail,NY,137.7,229.5,183.6
Sr Principal Software Engineer ,Oracle,United States,"$96.8K/yr - $251.6K/yr · Vision, 401(k), +1",Remote,Tech,,96.8,251.6,174.2
Workday AMS Integrations Consultant ,Deloitte,"Tempe, AZ",$97.9K/yr - $163.1K/yr,Hybrid,Business,AZ,97.9,163.1,130.5
Senior PX Data Analyst ,Zoom,"San Jose, CA",$93.9K/yr - $217K/yr,Hybrid,Tech,CA,93.9,217.0,155.45
"Director, SGS Program Management - TPL ",Gainwell Technologies,"Texas, United States","$82.9K/yr - $118.4K/yr · 401(k), Medical",Remote,Other,TX,82.9,118.4,100.65
Sr. Embedded Hardware Design Engineer ,Randstad Digital Americas,"Raleigh, NC",$120K/yr - $145K/yr,On-site,Tech,NC,120.0,145.0,132.5
Senior Manager Analyst Relations ,Verizon,"Lone Tree, CO","$105K/yr - $212K/yr · 401(k), +1",Hybrid,Other,CO,105.0,212.0,158.5
Executive Partner - CTO Advisory - Infrastructure & Operations - Global Enterprises ,Gartner,"California, United States",$164.8K/yr - $192K/yr · 401(k),Remote,Business,CA,164.8,192.0,178.4
"Channel Sales Manager - Salesforce, Financial Services Industry ",Deloitte,"Minneapolis, MN",$137.7K/yr - $229.5K/yr,Hybrid,Retail,MN,137.7,229.5,183.6
"Channel Sales Manager - Salesforce, Financial Services Industry ",Deloitte,"Jersey City, NJ",$137.7K/yr - $229.5K/yr,Hybrid,Retail,NJ,137.7,229.5,183.6
Technical Product Manager ,CGI,United States,$86.9K/yr - $202.7K/yr · 1,Remote,Other,,86.9,202.7,144.8
Advisor Application Architect ,Gainwell Technologies,"St Louis, MO",$95.1K/yr - $135.8K/yr · 401(k),On-site,Other,MO,95.1,135.8,115.45
Director Executive Compensation ,Thomson Reuters,"Frisco, TX","$151.7K/yr - $281.7K/yr · 401(k), +2 benefits",Hybrid,Business,TX,151.7,281.7,216.7
"Professional Services HCLS Leader - NAMER, ProServe NAMER ",Amazon Web Services (AWS),"Boston, MA",$180.9K/yr - $312.8K/yr,On-site,Other,MA,180.9,312.8,246.85000000000002
Workday AMS Integrations Consultant ,Deloitte,Greater Cleveland,$97.9K/yr - $163.1K/yr,Hybrid,Business,,97.9,163.1,130.5
"Principal Engineer, FullStack ",Autodesk,"San Francisco, CA",$141.4K/yr - $228.8K/yr,Hybrid,Tech,CA,141.4,228.8,185.10000000000002
"Professional Services HCLS Leader - NAMER, ProServe NAMER ",Amazon Web Services (AWS),"Denver, CO",$180.9K/yr - $312.8K/yr,On-site,Other,CO,180.9,312.8,246.85000000000002
Vice President - Global Accounts ,AVI-SPL,United States,$130K/yr - $160K/yr,Remote,Business,,130.0,160.0,145.0
Assist Accounts Payable Accountant,PTR Global,"Los Angeles, California, United States",$40K/yr - $45K/yr,On-site,Business,CA,40.0,45.0,42.5
Senior Software Engineer - Development (FrontEnd),Kyndryl,"Washington, United States",$94.4K/yr - $179.4K/yr,On-site,Tech,WA,94.4,179.4,136.9
Workday AMS Integrations Consultant ,Deloitte,"Nashville, TN",$97.9K/yr - $163.1K/yr,Hybrid,Business,TN,97.9,163.1,130.5
Workday AMS Integrations Consultant ,Deloitte,"Cincinnati, OH",$97.9K/yr - $163.1K/yr,Hybrid,Business,OH,97.9,163.1,130.5
Senior Product Manager I ,Zip Co,"New York, NY",$135K/yr - $150K/yr · 401(k),Remote,Other,NY,135.0,150.0,142.5
Workday AMS Integrations Consultant ,Deloitte,"Atlanta, GA",$97.9K/yr - $163.1K/yr,Hybrid,Business,GA,97.9,163.1,130.5
